"trial_num","fishID","MatingSuccess","days_mated","mate_cat","totalEggs","NumDeveloped","NumUndeveloped","length","femID","w1","w1_squared","W2","W2_bar","w2","W3","W3_bar","w3","i3"
"C7",6,2,"1,7","m",26,15,11,10.416,"C7F6",2.28571428571429,5.22448979591837,13,3.71428571428571,0.522988505747127,0.576923076923077,0.0862068965517241,0.711947626841244,0.0123984391479435
"C7",7,0,"","0",0,0,0,9.891,"C7F7",0,0,0,0,0,0,0,0,0
"C7",8,2,"1,9","m",75,64,11,9.164,"C7F8",2.28571428571429,5.22448979591837,37.5,10.7142857142857,1.50862068965517,0.853333333333333,0.367816091954023,1.05304964539007,0.0012130452051777
"C8",1,1,"1","s",44,43,1,9.965,"C8F1",1,1,44,5.5,1.15032679738562,0.977272727272727,0.140522875816993,1.01371340523883,2.70409453031082e-05
"C8",2,0,"","0",0,0,0,9.197,"C8F2",0,0,0,0,0,0,0,0,0
"C8",3,1,"3","s",53,52,1,9.974,"C8F3",1,1,53,6.625,1.38562091503268,0.981132075471698,0.169934640522876,1.01771666133674,5.43648520026394e-05
"C8",4,1,"1","s",25,25,0,10.514,"C8F4",1,1,25,3.125,0.65359477124183,1,0.0816993464052288,1.03728813559322,0.000113595184315228
"C8",5,1,"2","s",51,51,0,9.553,"C8F5",1,1,51,6.375,1.33333333333333,1,0.166666666666667,1.03728813559322,0.000231734176003065
"C8",6,1,"2","s",29,29,0,10.163,"C8F6",1,1,29,3.625,0.758169934640523,1,0.0947712418300654,1.03728813559322,0.000131770413805665
"C8",7,0,"","0",0,0,0,11.0949,"C8F7",0,0,0,0,0,0,0,0,0
"C8",8,3,"1,1,2","m",104,95,9,11.604,"C8F8",3,9,34.6666666666667,13,0.906318082788671,0.913461538461538,0.310457516339869,0.947522816166884,0.000935950658815962
